nombre,ultimo,dif,maximo,minimo,fecha
,0,0,0,0,
ACCIONA,"161,1000","1,00","161,2000","158,9000",15/11/2021
ACERINOX,"10,8100","-2,22","11,0500","10,7550",15/11/2021
ACS,"23,4700","1,25","23,5400","23,0500",15/11/2021
AENA,"148,5500","1,09","150,7500","145,7500",15/11/2021
ALMIRALL,"11,3000","-11,09","12,2700","11,1000",15/11/2021
AMADEUS,"63,4800","2,16","63,8400","61,6000",15/11/2021
ARCELORMIT.,"26,9400","-2,50","27,4750","26,7800",15/11/2021
B.SANTANDER,"3,2125","0,85","3,2320","3,1350",15/11/2021
BA.SABADELL,"0,6832","0,56","0,6922","0,6668",15/11/2021
BANKINTER,"4,9520","-0,50","5,0080","4,9080",15/11/2021
BBVA,"5,8360","-4,75","5,9500","5,7050",15/11/2021
CAIXABANK,"2,5010","-0,12","2,5340","2,4780",15/11/2021
CELLNEX,"54,1800","-0,33","54,8000","53,8600",15/11/2021
CIE AUTOMOT.,"25,8400","1,33","25,9000","25,4000",15/11/2021
ENAGAS,"20,0700","0,70","20,1100","19,8400",15/11/2021
ENDESA,"19,4000","1,04","19,4550","19,0750",15/11/2021
FERROVIAL,"26,8200","1,78","26,9100","26,1800",15/11/2021
FLUIDRA,"33,5000","-0,45","34,0000","33,5000",15/11/2021
GRIFOLS CL.A,"18,3450","0,47","18,5250","18,2000",15/11/2021
IAG,"1,9235","-0,49","1,9785","1,8870",15/11/2021
IBERDROLA,"10,1700","0,99","10,1850","9,9880",15/11/2021
INDITEX,"31,8100","0,03","31,8600","31,5300",15/11/2021
INDRA A,"10,8800","-0,64","10,9700","10,6800",15/11/2021
INM.COLONIAL,"8,5650","1,06","8,6550","8,4150",15/11/2021
MAPFRE,"1,9760","1,70","1,9845","1,9255",15/11/2021
MELIA HOTELS,"6,3840","0,54","6,5400","6,2820",15/11/2021
MERLIN,"10,0600","3,58","10,1400","9,7360",15/11/2021
NATURGY,"22,6800","0,93","22,7400","22,2900",15/11/2021
PHARMA MAR,"62,7400","2,85","62,9800","61,1000",15/11/2021
R.E.C.,"18,0900","0,39","18,1000","17,9550",15/11/2021
REPSOL,"10,8900","0,07","11,0260","10,7740",15/11/2021
SIEMENS GAME,"22,0100","-0,63","22,3600","21,7400",15/11/2021
SOLARIA,"16,0600","-1,20","16,5850","16,0250",15/11/2021
TELEFONICA,"3,9190","-1,04","3,9725","3,8900",15/11/2021
VISCOFAN,"58,3000","-0,09","58,6500","58,2000",15/11/2021
