nombre,ultimo,dif,maximo,minimo,fecha
,0,0,0,0,
ACCIONA,"166,0000","0,12","168,9000","165,9000",01/11/2021
ACERINOX,"12,2450","1,74","12,3450","12,1500",01/11/2021
ACS,"23,0200","1,72","23,2000","22,8000",01/11/2021
AENA,"145,6500","2,82","146,3500","141,1000",01/11/2021
ALMIRALL,"13,2100","2,80","13,2500","12,9500",01/11/2021
AMADEUS,"58,0000","0,28","58,6000","57,4400",01/11/2021
ARCELORMIT.,"29,9000","1,91","30,1450","29,6200",01/11/2021
B.SANTANDER,"3,3435","2,04","3,3535","3,2755",01/11/2021
BA.SABADELL,"0,6990","0,37","0,7184","0,6970",01/11/2021
BANKINTER,"4,9090","3,09","4,9570","4,7850",01/11/2021
BBVA,"6,2790","3,58","6,2920","6,0300",01/11/2021
CAIXABANK,"2,4870","0,08","2,5100","2,4700",01/11/2021
CELLNEX,"53,1400","-0,08","53,4800","52,5600",01/11/2021
CIE AUTOMOT.,"23,5800","0,26","23,9800","23,4200",01/11/2021
ENAGAS,"19,5950","0,98","19,6800","19,2700",01/11/2021
ENDESA,"20,0800","0,68","20,0800","19,8900",01/11/2021
FERROVIAL,"27,7500","1,80","28,0700","27,0900",01/11/2021
FLUIDRA,"33,0000","0,46","33,9000","32,3500",01/11/2021
GRIFOLS CL.A,"19,7750","-0,10","20,0000","19,6750",01/11/2021
IAG,"1,9690","1,78","1,9800","1,9070",01/11/2021
IBERDROLA,"10,2950","0,78","10,3250","10,1650",01/11/2021
INDITEX,"32,0400","2,56","32,1500","31,3200",01/11/2021
INDRA A,"10,4100","-0,38","10,5800","10,3400",01/11/2021
INM.COLONIAL,"8,3100","-1,19","8,4250","8,2300",01/11/2021
MAPFRE,"1,9700","7,62","1,9835","1,8590",01/11/2021
MELIA HOTELS,"6,4360","1,16","6,5300","6,3500",01/11/2021
MERLIN,"9,3880","0,21","9,5140","9,3440",01/11/2021
NATURGY,"23,2200","2,16","23,2800","22,7200",01/11/2021
PHARMA MAR,"60,4200","-10,01","67,4200","60,4200",01/11/2021
R.E.C.,"18,2200","1,17","18,3000","17,9500",01/11/2021
REPSOL,"11,0180","-0,34","11,1840","11,0000",01/11/2021
SIEMENS GAME,"22,9900","-1,88","23,6600","22,9900",01/11/2021
SOLARIA,"17,5350","1,53","17,6100","17,2750",01/11/2021
TELEFONICA,"3,8165","1,38","3,8445","3,7490",01/11/2021
VISCOFAN,"59,3500","0,34","59,9000","58,5000",01/11/2021
